,population,income,NAME,county,state,FIPS,StateCode,StateName,CountyFips,CountyName,CountyTotalVote,Party,Candidate,VoteCount,_merge,trump_share
0,55221.0,51281.0,"Autauga County, Alabama",001,01,1001.0,AL,alabama,1001,Autauga,24661,GOP,Trump,18110.0,both,0.7343578930294797
5,195121.0,50254.0,"Baldwin County, Alabama",003,01,1003.0,AL,alabama,1003,Baldwin,94090,GOP,Trump,72780.0,both,0.773514719948985
10,26932.0,32964.0,"Barbour County, Alabama",005,01,1005.0,AL,alabama,1005,Barbour,10390,GOP,Trump,5431.0,both,0.5227141482194417
15,22604.0,38678.0,"Bibb County, Alabama",007,01,1007.0,AL,alabama,1007,Bibb,8748,GOP,Trump,6733.0,both,0.7696616369455875
20,57710.0,45813.0,"Blount County, Alabama",009,01,1009.0,AL,alabama,1009,Blount,25384,GOP,Trump,22808.0,both,0.8985187519697447
25,10678.0,31938.0,"Bullock County, Alabama",011,01,1011.0,AL,alabama,1011,Bullock,4701,GOP,Trump,1139.0,both,0.24228887470750904
30,20354.0,32229.0,"Butler County, Alabama",013,01,1013.0,AL,alabama,1013,Butler,8685,GOP,Trump,4891.0,both,0.5631548647092689
35,116648.0,41703.0,"Calhoun County, Alabama",015,01,1015.0,AL,alabama,1015,Calhoun,47376,GOP,Trump,32803.0,both,0.6923969942586964
40,34079.0,34177.0,"Chambers County, Alabama",017,01,1017.0,AL,alabama,1017,Chambers,13778,GOP,Trump,7803.0,both,0.5663376397154885
45,26008.0,36296.0,"Cherokee County, Alabama",019,01,1019.0,AL,alabama,1019,Cherokee,10503,GOP,Trump,8809.0,both,0.8387127487384557
50,43819.0,41627.0,"Chilton County, Alabama",021,01,1021.0,AL,alabama,1021,Chilton,18255,GOP,Trump,15068.0,both,0.8254176937825254
55,13395.0,33536.0,"Choctaw County, Alabama",023,01,1023.0,AL,alabama,1023,Choctaw,7268,GOP,Trump,4102.0,both,0.5643918547055586
60,25070.0,32011.0,"Clarke County, Alabama",025,01,1025.0,AL,alabama,1025,Clarke,12936,GOP,Trump,7109.0,both,0.5495516388373531
65,13537.0,35327.0,"Clay County, Alabama",027,01,1027.0,AL,alabama,1027,Clay,6572,GOP,Trump,5230.0,both,0.795800365185636
70,15002.0,38056.0,"Cleburne County, Alabama",029,01,1029.0,AL,alabama,1029,Cleburne,6532,GOP,Trump,5738.0,both,0.8784445805266381
75,50884.0,46729.0,"Coffee County, Alabama",031,01,1031.0,AL,alabama,1031,Coffee,20513,GOP,Trump,15825.0,both,0.7714619997075025
80,54444.0,40576.0,"Colbert County, Alabama",033,01,1033.0,AL,alabama,1033,Colbert,24626,GOP,Trump,16718.0,both,0.6788759847315845
85,12865.0,24900.0,"Conecuh County, Alabama",035,01,1035.0,AL,alabama,1035,Conecuh,6543,GOP,Trump,3413.0,both,0.5216261653675683
90,11027.0,31212.0,"Coosa County, Alabama",037,01,1037.0,AL,alabama,1037,Coosa,5223,GOP,Trump,3376.0,both,0.6463718169634309
95,37886.0,36444.0,"Covington County, Alabama",039,01,1039.0,AL,alabama,1039,Covington,15818,GOP,Trump,13222.0,both,0.8358831710709318
100,13938.0,36022.0,"Crenshaw County, Alabama",041,01,1041.0,AL,alabama,1041,Crenshaw,6252,GOP,Trump,4511.0,both,0.7215291106845809
